t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
283578.1,0,,95,56,8,50.0,1.0,55.6907,16.8478,4.3834,24.1818,0
285578.1,0,,95,56,8,50.0,1.0,55.5907,16.8478,4.4171,24.1154,0
287578.1,0,,95,56,8,50.0,1.0,55.4907,16.8478,4.4508,24.049,0
289578.1,0,,95,56,8,50.0,1.0,55.3907,16.8478,4.4845,23.9826,0
291578.1,0,,95,56,8,50.0,1.0,55.2907,16.8478,4.5182,23.9162,0
293578.1,0,,95,56,8,50.0,1.0,55.1907,16.8478,4.5519,23.8498,0
295578.1,0,,95,56,8,50.0,1.0,55.0907,16.8478,4.5856,23.7834,0
297578.1,0,,95,56,8,50.0,1.0,54.9907,16.8478,4.6193,23.717,0
299578.1,0,,95,56,8,50.0,1.0,54.8907,16.8478,4.653,23.6506,0
301578.1,0,,95,56,8,50.0,1.0,54.7907,16.8478,4.6867,23.5842,0
303578.1,0,,95,56,8,50.0,1.0,54.6907,16.8478,4.7204,23.5178,0
305578.1,0,,95,56,8,50.0,1.0,54.5907,16.8478,4.7541,23.4514,0
307578.1,0,,95,56,8,50.0,1.0,54.4907,16.8478,4.7878,23.385,0
309578.1,0,,95,56,8,50.0,1.0,54.3907,16.8478,4.8214,23.3186,0
311578.1,0,,95,56,8,50.0,1.0,54.2907,16.8478,4.8551,23.2522,0
313578.1,0,,95,56,8,50.0,1.0,54.1907,16.8478,4.8888,23.1859,0
315578.1,0,,95,56,8,50.0,1.0,54.0907,16.8478,4.9225,23.1195,0
317578.1,0,,95,56,8,50.0,1.0,53.9907,16.8478,4.9562,23.0531,0
319578.1,0,,95,56,8,50.0,1.0,53.8907,16.8478,4.9899,22.9867,0
321578.1,0,,95,56,8,50.0,1.0,53.7907,16.8478,5.0236,22.9203,0
323578.1,0,,95,56,8,50.0,1.0,53.6907,16.8478,5.0573,22.8539,0
325578.1,0,,95,56,8,50.0,1.0,53.5907,16.8478,5.091,22.7875,0
325704.8,0,,95,56,8,50.0,1.0,53.5843,16.8478,5.0931,22.7833,0
327578.1,0,,94,56,8,50.0,1.0,53.4907,17.0455,5.1251,22.7213,0
329578.1,0,,94,56,8,50.0,1.0,53.3907,17.0455,5.1592,22.6552,0
331578.1,0,,94,56,8,50.0,1.0,53.2907,17.0455,5.1933,22.5891,0
333578.1,0,,94,56,8,50.0,1.0,53.1907,17.0455,5.2274,22.523,0
335578.1,0,,94,56,8,50.0,1.0,53.0907,17.0455,5.2614,22.4569,0
337578.1,0,,94,56,8,50.0,1.0,52.9907,17.0455,5.2955,22.3908,0
339578.1,0,,94,56,8,50.0,1.0,52.8907,17.0455,5.3296,22.3247,0
341578.1,0,,94,56,8,50.0,1.0,52.7907,17.0455,5.3637,22.2586,0
343578.1,0,,94,56,8,50.0,1.0,52.6907,17.0455,5.3978,22.1924,0
345578.1,0,,94,56,8,50.0,1.0,52.5907,17.0455,5.4319,22.1263,0
347578.1,0,,94,56,8,50.0,1.0,52.4907,17.0455,5.466,22.0602,0
349578.1,0,,94,56,8,50.0,1.0,52.3907,17.0455,5.5001,21.9941,0
350854.3,0,,94,56,8,50.0,1.0,52.3269,17.0455,5.5218,21.9519,0
351578.1,0,,93,56,7,50.0,1.0,52.2907,15.0527,4.8446,21.9281,0
353578.1,0,,93,56,7,50.0,1.0,52.1907,15.0527,4.8747,21.8622,0
355578.1,0,,93,56,7,50.0,1.0,52.0907,15.0527,4.9048,21.7964,0
357578.1,0,,93,56,7,50.0,1.0,51.9907,15.0527,4.9349,21.7305,0
359578.1,0,,93,56,7,50.0,1.0,51.8907,15.0527,4.965,21.6647,0
361578.1,0,,93,56,7,50.0,1.0,51.7907,15.0527,4.9951,21.5988,0
363578.1,0,,93,56,7,50.0,1.0,51.6907,15.0527,5.0252,21.533,0
365578.1,0,,93,56,7,50.0,1.0,51.5907,15.0527,5.0553,21.4671,0
367578.1,0,,93,56,7,50.0,1.0,51.4907,15.0527,5.0854,21.4013,0
369578.1,0,,93,56,7,50.0,1.0,51.3907,15.0527,5.1155,21.3354,0
371578.1,0,,93,56,7,50.0,1.0,51.2907,15.0527,5.1457,21.2696,0
373578.1,0,,93,56,7,50.0,1.0,51.1907,15.0527,5.1758,21.2037,0
375578.1,0,,93,56,7,50.0,1.0,51.0907,15.0527,5.2059,21.1378,0
377578.1,0,,93,56,7,50.0,1.0,50.9907,15.0527,5.236,21.072,0
379578.1,0,,93,56,7,50.0,1.0,50.8907,15.0527,5.2661,21.0061,0
381578.1,0,,93,56,7,50.0,1.0,50.7907,15.0527,5.2962,20.9403,0
383578.1,0,,93,56,7,50.0,1.0,50.6907,15.0527,5.3263,20.8744,0
384769.1,0,,93,56,7,50.0,1.0,50.6311,15.0527,5.3442,20.8352,0
385578.1,0,,92,56,7,50.0,1.0,50.5907,15.1515,5.3565,20.8087,0
387578.1,0,,92,56,7,50.0,1.0,50.4907,15.1515,5.3868,20.7431,0
389578.1,0,,92,56,7,50.0,1.0,50.3907,15.1515,5.4171,20.6775,0
391578.1,0,,92,56,7,50.0,1.0,50.2907,15.1515,5.4474,20.6119,0
393578.1,0,,92,56,7,50.0,1.0,50.1907,15.1515,5.4777,20.5464,0
395578.1,0,,92,56,7,50.0,1.0,50.0907,15.1515,5.508,20.4808,0
397578.1,0,,92,56,7,50.0,1.0,49.9907,15.1515,5.5383,20.4152,0
399578.1,0,,92,56,7,50.0,1.0,49.8907,15.1515,5.5686,20.3496,0
401578.1,0,,92,56,7,50.0,1.0,49.7907,15.1515,5.5989,20.284,0
403578.1,0,,92,56,7,50.0,1.0,49.6907,15.1515,5.6292,20.2185,0
405578.1,0,,92,56,7,50.0,1.0,49.5907,15.1515,5.6595,20.1529,0
407578.1,0,,92,56,7,50.0,1.0,49.4907,15.1515,5.6898,20.0873,0
409578.1,0,,92,56,7,50.0,1.0,49.3907,15.1515,5.7201,20.0217,0
411578.1,0,,92,56,7,50.0,1.0,49.2907,15.1515,5.7504,19.9562,0
413578.1,0,,92,56,7,50.0,1.0,49.1907,15.1515,5.7807,19.8906,0
415578.1,0,,92,56,7,50.0,1.0,49.0907,15.1515,5.811,19.825,0
417578.1,0,,92,56,7,50.0,1.0,48.9907,15.1515,5.8413,19.7594,0
419578.1,0,,92,56,7,50.0,1.0,48.8907,15.1515,5.8716,19.6938,0
421578.1,0,,92,56,7,50.0,1.0,48.7907,15.1515,5.9019,19.6283,0
423578.1,0,,92,56,7,50.0,1.0,48.6907,15.1515,5.9322,19.5627,0
425578.1,0,,92,56,7,50.0,1.0,48.5907,15.1515,5.9625,19.4971,0
427578.1,0,,92,56,7,50.0,1.0,48.4907,15.1515,5.9928,19.4315,0
429578.1,0,,92,56,7,50.0,1.0,48.3907,15.1515,6.0231,19.3659,0
431578.1,0,,92,56,7,50.0,1.0,48.2907,15.1515,6.0534,19.3004,0
433578.1,0,,92,56,7,50.0,1.0,48.1907,15.1515,6.0837,19.2348,0
435578.1,0,,92,56,7,50.0,1.0,48.0907,15.1515,6.114,19.1692,0
437578.1,0,,92,56,7,50.0,1.0,47.9907,15.1515,6.1444,19.1036,0
439578.1,0,,92,56,7,50.0,1.0,47.8907,15.1515,6.1747,19.038,0
441578.1,0,,92,56,7,50.0,1.0,47.7907,15.1515,6.205,18.9725,0
443578.1,0,,92,56,7,50.0,1.0,47.6907,15.1515,6.2353,18.9069,0
445578.1,0,,92,56,7,50.0,1.0,47.5907,15.1515,6.2656,18.8413,0
447578.1,0,,92,56,7,50.0,1.0,47.4907,15.1515,6.2959,18.7757,0
449578.1,0,,92,56,7,50.0,1.0,47.3907,15.1515,6.3262,18.7101,0
451578.1,0,,92,56,7,50.0,1.0,47.2907,15.1515,6.3565,18.6446,0
453578.1,0,,92,56,7,50.0,1.0,47.1907,15.1515,6.3868,18.579,0
455578.1,0,,92,56,7,50.0,1.0,47.0907,15.1515,6.4171,18.5134,0
457578.1,0,,92,56,7,50.0,1.0,46.9907,15.1515,6.4474,18.4478,0
459578.1,0,,92,56,7,50.0,1.0,46.8907,15.1515,6.4777,18.3822,0
461578.1,0,,92,56,7,50.0,1.0,46.7907,15.1515,6.508,18.3167,0
463578.1,0,,92,56,7,50.0,1.0,46.6907,15.1515,6.5383,18.2511,0
465578.1,0,,92,56,7,50.0,1.0,46.5907,15.1515,6.5686,18.1855,0
467578.1,0,,92,56,7,50.0,1.0,46.4907,15.1515,6.5989,18.1199,0
469578.1,0,,92,56,7,50.0,1.0,46.3907,15.1515,6.6292,18.0543,0
471578.1,0,,92,56,7,50.0,1.0,46.2907,15.1515,6.6595,17.9888,0
473578.1,0,,92,56,7,50.0,1.0,46.1907,15.1515,6.6898,17.9232,0
475578.1,0,,92,56,7,50.0,1.0,46.0907,15.1515,6.7201,17.8576,0
477578.1,0,,92,56,7,50.0,1.0,45.9907,15.1515,6.7504,17.792,0
479578.1,0,,92,56,7,50.0,1.0,45.8907,15.1515,6.7807,17.7264,0
481578.1,0,,92,56,7,50.0,1.0,45.7907,15.1515,6.811,17.6609,0
483578.1,0,,92,56,7,50.0,1.0,45.6907,15.1515,6.8413,17.5953,0
485578.1,0,,92,56,7,50.0,1.0,45.5907,15.1515,6.8716,17.5297,0
487578.1,0,,92,56,7,50.0,1.0,45.4907,15.1515,6.9019,17.4641,0
487906.4,0,,92,56,7,50.0,1.0,45.4742,15.1515,6.9069,17.4534,0
489578.1,0,,91,56,7,50.0,1.0,45.3907,15.368,6.9326,17.3988,0
491101.3,0,,91,56,7,50.0,1.0,45.3145,15.368,6.956,17.3491,0
491578.1,0,,90,56,7,50.0,1.0,45.2907,15.4762,6.9634,17.3336,0
493578.1,0,,90,56,7,50.0,1.0,45.1907,15.4762,6.9943,17.2686,0
494496.4,0,,90,56,7,50.0,1.0,45.1447,15.4762,7.0085,17.2387,0
494541.9,0,,89,56,7,50.0,1.0,45.1425,15.6573,7.0093,17.2373,0
495578.1,0,,88,56,7,50.0,1.0,45.0907,15.7764,7.0256,17.2039,0
497578.1,0,,88,56,7,50.0,1.0,44.9907,15.7764,7.0572,17.1394,0
499578.1,0,,88,56,7,50.0,1.0,44.8907,15.7764,7.0887,17.0749,0
499966.9,0,,88,56,7,50.0,1.0,44.8712,15.7764,7.0948,17.0624,0
501578.1,0,,87,56,7,50.0,1.0,44.7907,15.9576,7.1206,17.0119,0
