rank,t_ns,state,collective,n_send,n_recv
24,1397391.4,SEND+RECV,1,3,31
25,1397391.4,SEND,1,4,0
26,1397391.4,SEND,1,4,0
27,1397391.4,SEND,1,4,0
28,1397391.4,SEND,1,4,0
29,1397391.4,SEND,1,4,0
30,1397391.4,SEND,1,4,0
31,1397391.4,SEND,1,4,0
0,2794782.7,IDLE,1,0,0
1,2794782.7,IDLE,1,0,0
2,2794782.7,IDLE,1,0,0
3,2794782.7,IDLE,1,0,0
4,2794782.7,IDLE,1,0,0
5,2794782.7,IDLE,1,0,0
6,2794782.7,IDLE,1,0,0
7,2794782.7,IDLE,1,0,0
8,2794782.7,IDLE,1,0,0
9,2794782.7,IDLE,1,0,0
10,2794782.7,IDLE,1,0,0
11,2794782.7,IDLE,1,0,0
12,2794782.7,IDLE,1,0,0
13,2794782.7,IDLE,1,0,0
14,2794782.7,IDLE,1,0,0
15,2794782.7,IDLE,1,0,0
16,2794782.7,IDLE,1,0,0
17,2794782.7,IDLE,1,0,0
18,2794782.7,IDLE,1,0,0
19,2794782.7,IDLE,1,0,0
20,2794782.7,IDLE,1,0,0
21,2794782.7,IDLE,1,0,0
22,2794782.7,IDLE,1,0,0
