collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,3,28,1302528,CROSS_POD,CROSS_POD,12.5,1360060.2,1476262.4,116202.2
all_to_all_dispatch,3,25,1298432,CROSS_POD,CROSS_POD,12.5,1476262.4,1592137.0,115874.6
all_to_all_dispatch,3,27,1277952,CROSS_POD,CROSS_POD,12.5,1592137.0,1706373.1,114236.2
all_to_all_dispatch,3,9,1253376,INTRA_POD,INTRA_POD,50.0,1706373.1,1736440.6,30067.5
all_to_all_dispatch,3,22,1245184,CROSS_POD,CROSS_POD,12.5,1736440.6,1848055.4,111614.7
all_to_all_dispatch,3,4,1220608,INTRA_NODE,INTRA_NODE,450.0,31888.4,36600.8,4712.5
all_to_all_dispatch,3,10,1208320,INTRA_POD,INTRA_POD,50.0,1848055.4,1877221.8,29166.4
all_to_all_dispatch,3,26,1175552,CROSS_POD,CROSS_POD,12.5,1877221.8,1983265.9,106044.2
all_to_all_dispatch,3,12,1171456,INTRA_POD,INTRA_POD,50.0,1983265.9,2011695.0,28429.1
all_to_all_dispatch,3,13,1159168,INTRA_POD,INTRA_POD,50.0,2011695.0,2039878.4,28183.4
all_to_all_dispatch,3,15,1150976,INTRA_POD,INTRA_POD,50.0,2039878.4,2067897.9,28019.5
all_to_all_dispatch,3,16,1032192,CROSS_POD,CROSS_POD,12.5,2067897.9,2162473.3,94575.4
all_to_all_dispatch,3,19,1011712,CROSS_POD,CROSS_POD,12.5,2162473.3,2255410.2,92937.0
all_to_all_dispatch,3,7,1007616,INTRA_NODE,INTRA_NODE,450.0,36600.8,40840.0,4239.1
all_to_all_dispatch,3,23,1003520,CROSS_POD,CROSS_POD,12.5,2255410.2,2347691.8,92281.6
all_to_all_dispatch,3,6,983040,INTRA_NODE,INTRA_NODE,450.0,40840.0,45024.5,4184.5
all_to_all_dispatch,3,31,966656,CROSS_POD,CROSS_POD,12.5,2347691.8,2437024.3,89332.5
all_to_all_dispatch,3,30,913408,CROSS_POD,CROSS_POD,12.5,2437024.3,2522097.0,85072.6
all_to_all_dispatch,3,20,761856,CROSS_POD,CROSS_POD,12.5,2522097.0,2595045.4,72948.5
