collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,3,8,1425408,INTRA_POD,INTRA_POD,50.0,1668949.1,1702457.3,33508.2
all_to_all_dispatch,3,28,1302528,CROSS_POD,CROSS_POD,12.5,1988485.8,2104688.0,116202.2
all_to_all_dispatch,3,25,1298432,CROSS_POD,CROSS_POD,12.5,2104688.0,2220562.6,115874.6
all_to_all_dispatch,3,27,1277952,CROSS_POD,CROSS_POD,12.5,2220562.6,2334798.7,114236.2
all_to_all_dispatch,3,9,1253376,INTRA_POD,INTRA_POD,50.0,2334798.7,2364866.2,30067.5
all_to_all_dispatch,3,22,1245184,CROSS_POD,CROSS_POD,12.5,2364866.2,2476481.0,111614.7
all_to_all_dispatch,3,4,1220608,INTRA_NODE,INTRA_NODE,450.0,31888.4,36600.8,4712.5
all_to_all_dispatch,3,10,1208320,INTRA_POD,INTRA_POD,50.0,2476481.0,2505647.4,29166.4
all_to_all_dispatch,3,26,1175552,CROSS_POD,CROSS_POD,12.5,2505647.4,2611691.5,106044.2
all_to_all_dispatch,3,12,1171456,INTRA_POD,INTRA_POD,50.0,2611691.5,2640120.6,28429.1
all_to_all_dispatch,3,13,1159168,INTRA_POD,INTRA_POD,50.0,2640120.6,2668304.0,28183.4
all_to_all_dispatch,3,15,1150976,INTRA_POD,INTRA_POD,50.0,2668304.0,2696323.5,28019.5
all_to_all_dispatch,3,16,1032192,OCS,OPTICAL,50.0,2696323.5,2722967.4,26643.8
all_to_all_dispatch,3,19,1011712,OCS,OPTICAL,50.0,2727653.8,2753888.0,26234.2
all_to_all_dispatch,3,7,1007616,INTRA_NODE,INTRA_NODE,450.0,36600.8,40840.0,4239.1
all_to_all_dispatch,3,23,1003520,OCS,OPTICAL,50.0,2753888.0,2779958.4,26070.4
all_to_all_dispatch,3,6,983040,INTRA_NODE,INTRA_NODE,450.0,40840.0,45024.5,4184.5
all_to_all_dispatch,3,31,966656,OCS,OPTICAL,50.0,2779958.4,2805291.5,25333.1
all_to_all_dispatch,3,30,913408,OCS,OPTICAL,50.0,2805291.5,2829559.7,24268.2
all_to_all_dispatch,3,20,761856,OCS,OPTICAL,50.0,2829559.7,2850796.8,21237.1
